FrameTimesStart	FrameTimesEnd	neocortex
0	30	11.287014506022489
30	60	1254.261565125703
60	90	9406.046146047502
90	120	20804.81628939455
120	150	31787.202462132223
150	180	34929.185976890476
180	240	35180.01751539346
240	300	34320.660579816176
300	360	32689.948964292762
360	480	30414.8698801738
480	600	27826.55513107216
600	900	24717.91646924128
900	1200	21555.94621337581
1200	1500	19260.71499128177
1500	1800	17466.574678609926
1800	2100	15942.32191645709
2100	2400	14760.682196342117
2400	2700	13831.676517435335
2700	3000	12990.235600494854
3000	3300	12268.378789918965
3300	3600	11615.586282472577
3600	3900	11158.693313447413
3900	4200	10653.18024549216
4200	4500	10279.230180364035
4500	4800	10023.866657130202
4800	5100	9597.081845105742
5100	5400	9371.84280748448
