FrameTimesStart	FrameTimesEnd	semiovale
0	30	13.053223090635026
30	60	526.3866644535033
60	90	3553.4672920388075
90	120	8223.104879655439
120	150	12437.878612119845
150	180	13289.240659825822
180	240	13767.388409102805
240	300	13896.543107366258
300	360	13866.782188056166
360	480	13890.126386097152
480	600	13845.97050261071
600	900	14014.102840144735
900	1200	13905.732348624633
1200	1500	14052.176140271671
1500	1800	14045.132671004763
1800	2100	13954.992476117566
2100	2400	13788.399172130183
2400	2700	13425.06095084799
2700	3000	13507.362574264553
3000	3300	13052.12161190065
3300	3600	12842.386440830454
3600	3900	12785.80014607543
3900	4200	12496.56529990447
4200	4500	12512.550321120576
4500	4800	12161.22150413526
4800	5100	11968.24124344051
5100	5400	11966.383045795383
